county,year,totalPopulation
Eagle,2018,54207
Logan,2022,21433
Adams,2037,678058
San Juan,2003,612
Washington,2026,4898
Montezuma,2044,29401
Arapahoe,2015,629968
Pitkin,2047,18609
Teller,2045,28641
Park,2047,18739
Gilpin,2028,5698
Mesa,2006,133129
Yuma,2031,10189
Conejos,2046,6844
Crowley,2034,6079
Lincoln,2018,5622
Delta,1991,21227
Park,1996,11382
Washington,1991,4784
Prowers,2042,10731
Denver,2020,717627
Grand,2045,18982
Archuleta,2027,14582
San Miguel,2050,11579
Teller,1992,13673
Lake,2032,8244
Jefferson,2031,614591
Denver,2037,847040
Las Animas,2036,13514
Hinsdale,2002,805
Fremont,2002,46971
Lake,2008,7270
Washington,2015,4683
Kit Carson,1997,7601
Sedgwick,2009,2379
Eagle,2045,69285
Boulder,2042,386292
Archuleta,2045,18926
Gilpin,1997,4035
Lincoln,2025,5866
Adams,1998,344025
Chaffee,2018,19248
Weld,2022,347858
Routt,2030,29138
Gilpin,2017,5634
San Miguel,1990,3723
Cheyenne,2008,1903
El Paso,2007,588777
Denver,1991,475184
Ouray,2039,5325
Montrose,2020,42809
Bent,2045,5367
Larimer,2002,266177
Moffat,2042,12121
Jefferson,2011,540625
Summit,2037,34582
Prowers,1998,14223
Costilla,2035,3199
Adams,1990,265709
Montezuma,1999,23518
Summit,2050,37255
La Plata,2022,56705
Fremont,2023,48895
Gilpin,2009,5392
Moffat,2007,13273
Bent,2001,5878
Montrose,2005,36999
San Miguel,2024,8539
San Juan,2021,704
Otero,1996,20738
Grand,2036,17848
Costilla,2019,3501
Huerfano,2001,7903
Montezuma,1996,22645
Routt,2042,34160
San Juan,2048,682
Montezuma,2038,28841
Dolores,2023,2069
La Plata,2000,44578
Denver,2036,842003
Baca,2012,3702
El Paso,2027,799709
Routt,2043,34495
Huerfano,2038,5855
San Juan,2026,696
La Plata,2041,73771
Baca,2002,4315
Arapahoe,2003,516352
Archuleta,2044,18718
Gilpin,2034,5648
Eagle,2031,60502
Mineral,2035,914
Kit Carson,2019,7183
Yuma,2026,10127
Moffat,2002,13127
Prowers,2041,10814
Clear Creek,1993,8039
Yuma,2018,9956
Pueblo,2024,172135
Conejos,2045,6869
Baca,2018,3548
Larimer,2001,260911
Arapahoe,1993,427474
Mesa,2025,163910
Yuma,2033,10172
Crowley,2014,5841
Summit,1990,12926
Conejos,2018,7662
Washington,2027,4901
Douglas,2037,445318
Las Animas,2014,15085
Yuma,2015,10041
Phillips,2034,4487
Pitkin,2049,18726
Rio Grande,2021,11511
Routt,2044,34809
Montezuma,2002,24107
Chaffee,2037,21769
Jackson,2014,1375
Broomfield,2030,94151
Ouray,2032,5100
Grand,2010,14790
Huerfano,1998,7780
San Miguel,2000,6614
Alamosa,2040,17073
Costilla,2043,3070
Summit,2009,27780
Ouray,2046,5591
Dolores,1998,1764
Moffat,2003,13053
Phillips,1994,4403
Yuma,2050,9857
Gunnison,2043,19844
Sedgwick,2043,2349
Saguache,2041,6689
Summit,2042,35703
Larimer,2006,281026
San Juan,2008,700
Saguache,2019,6363
Jefferson,1990,439886
Douglas,2024,384634
Arapahoe,2038,778984
Dolores,2029,2007
Jefferson,2032,617123
Jackson,2022,1358
Jefferson,2036,625828
Fremont,2048,51765
Ouray,2017,4729
Montrose,2018,42083
Pueblo,2016,164122
Routt,2031,29624
Rio Grande,2050,10069
Gunnison,2015,15822
La Plata,2027,62367
Las Animas,2008,15487
Moffat,2021,13300
Lincoln,2037,6092
Summit,2020,31017
Saguache,2012,6158
Logan,2017,21696
Mineral,1992,582
Garfield,2009,55401
Crowley,2046,6187
Teller,2044,28533
Kit Carson,2006,7944
Boulder,2048,395173
Mesa,2012,147941
Boulder,2034,366290
Bent,1994,5401
Grand,2032,17251
Lincoln,2048,6302
Chaffee,2007,17234
Yuma,2044,10060
Custer,2011,4320
Sedgwick,1996,2681
Garfield,1991,31228
Sedgwick,2021,2397
Pueblo,1990,122886
Denver,1998,533409
Elbert,2004,22040
Broomfield,2046,94685
Morgan,2025,30129
Gunnison,1993,11306
Douglas,2004,233644
Garfield,2047,92745
Dolores,2040,1842
Park,2039,19040
Costilla,2041,3099
El Paso,2030,832462
San Miguel,2028,9220
Park,2009,15965
Chaffee,2030,21014
Routt,2023,25522
Adams,2044,747860
La Plata,2007,49151
Grand,2049,19372
Conejos,2044,6907
Kiowa,2005,1540
Teller,2024,25749
Grand,2009,14660
Phillips,2037,4468
Kit Carson,2008,8042
Saguache,2036,6627
Alamosa,2032,16863
Kiowa,2016,1424
Rio Grande,2001,12404
Mesa,2016,150345
Archuleta,1995,7110
Rio Blanco,1992,6177
Hinsdale,2035,832
Rio Blanco,2017,6567
Broomfield,2019,72670
Sedgwick,2044,2343
Alamosa,2043,17115
Dolores,2015,2083
Dolores,2046,1753
Lake,2044,8777
Summit,2045,36326
Ouray,2038,5284
Phillips,2042,4423
Kit Carson,2009,8269
Pitkin,2043,18399
Park,2012,15737
Prowers,2010,12531
Las Animas,2002,15658
Larimer,2030,412980
Yuma,2039,10152
Routt,2017,24169
Jefferson,2037,627639
Eagle,2043,68358
Rio Blanco,2040,6018
Eagle,1991,23459
Jefferson,2020,582780
Kit Carson,1998,7756
Broomfield,2039,95814
Gunnison,2024,17303
Grand,2005,13893
Routt,2037,32303
Conejos,2019,7548
La Plata,1993,35595
Kiowa,2039,1337
Ouray,2019,4894
Lake,2021,7383
Cheyenne,2011,1833
Cheyenne,1996,2284
Las Animas,2018,14727
Crowley,2050,6225
Huerfano,1993,6443
Larimer,2005,275871
Rio Grande,1996,11822
Alamosa,2019,16244
Mineral,1999,807
Rio Grande,2013,11866
Kiowa,2026,1433
Pueblo,2017,165553
Mineral,2040,915
Sedgwick,2033,2412
Saguache,2016,6190
Cheyenne,1998,2340
Yuma,2046,9998
El Paso,2026,788855
Chaffee,2025,20126
Arapahoe,2043,804864
Cheyenne,2000,2214
Adams,2010,443711
Broomfield,2050,93717
Moffat,2005,12962
Boulder,2037,374404
Grand,1994,9348
Dolores,2038,1868
Grand,2018,15262
Elbert,1998,18030
La Plata,1994,36904
Morgan,1995,25367
Montezuma,2033,28204
Phillips,2016,4503
Sedgwick,2025,2449
Archuleta,2018,13033
Weld,2015,284861
Pueblo,2010,159496
San Miguel,2016,8004
Clear Creek,2006,9278
Arapahoe,1997,459061
San Juan,1995,581
Custer,2003,3936
Routt,2002,20893
Dolores,2031,1979
Arapahoe,2032,739287
Baca,2019,3569
Alamosa,1992,13572
Clear Creek,2033,10329
Montrose,2041,54228
Morgan,1997,26650
Kit Carson,2039,7180
Costilla,2047,3004
Arapahoe,1996,451067
Boulder,2025,339366
Cheyenne,2003,2117
Grand,2048,19279
Phillips,2017,4511
Broomfield,2041,95648
Prowers,2046,10381
Crowley,2039,6133
Denver,2038,851628
Lake,2034,8351
Park,2046,18782
Conejos,2049,6735
Moffat,2048,11685
Jackson,1995,1613
Gilpin,2039,5587
Las Animas,1994,14753
Ouray,1992,2533
Summit,1993,15189
Park,2016,16464
Crowley,2031,6047
La Plata,2047,77896
Jefferson,1994,483432
Archuleta,2012,11989
Washington,2011,4610
Routt,2049,36155
Delta,1994,24343
Phillips,2020,4530
Garfield,2034,77270
Fremont,2040,50729
Ouray,1998,3457
Otero,2028,17946
Las Animas,2049,11617
Routt,2035,31460
Montezuma,2000,23852
San Juan,2033,670
Archuleta,2017,12759
El Paso,2010,627232
Moffat,2023,13198
Custer,2041,4119
Teller,2005,22507
Garfield,2025,65827
Mesa,1993,99901
Park,2014,15778
Clear Creek,2020,9392
Alamosa,2048,17143
Prowers,2033,11379
Prowers,2036,11182
Huerfano,1997,7667
Arapahoe,2011,585817
Teller,2046,28734
Routt,2034,31024
Weld,2020,331186
Boulder,1999,283928
Larimer,2035,439991
Rio Blanco,2009,6316
Jefferson,2002,527541
Morgan,1990,22073
Phillips,2007,4484
Otero,2018,18757
Logan,2024,21661
Dolores,1995,1557
Mineral,2017,782
Kit Carson,2023,7025
Delta,1993,23237
Fremont,2018,47988
Elbert,1994,12846
Archuleta,2036,16828
San Juan,2034,665
Prowers,1991,12961
Rio Grande,1991,10842
Yuma,2034,10172
Eagle,1990,22106
Chaffee,2043,22235
Dolores,2037,1888
Washington,2024,4867
Pueblo,2007,154759
Cheyenne,2034,1702
Logan,2005,22082
Kit Carson,2049,7296
El Paso,2040,930816
Kiowa,1994,1698
Archuleta,2013,11993
Sedgwick,2049,2334
Jefferson,2027,603160
Yuma,2035,10166
Dolores,2022,2080
Ouray,2000,3776
Lake,2020,7417
Lake,2038,8584
Chaffee,2044,22297
Delta,2050,36316
Mineral,2019,834
Gunnison,2045,20034
Broomfield,2010,56107
Moffat,1998,12810
Dolores,2006,1990
Moffat,2019,13361
Rio Grande,2004,12830
Arapahoe,2034,752915
Clear Creek,2005,9391
Kiowa,2002,1566
Phillips,2043,4413
Rio Grande,2035,11296
Ouray,2003,3908
Saguache,2008,6181
Archuleta,2024,14033
Kit Carson,1996,7479
Eagle,2008,50301
Otero,2030,17709
Grand,2013,14948
Larimer,2044,484200
Adams,2013,469878
Chaffee,1990,12684
Park,2041,18972
Mesa,2030,178155
Rio Blanco,2048,5698
El Paso,1990,397889
Morgan,2017,28424
Gunnison,2040,19515
Saguache,2014,6174
Morgan,2027,30625
Alamosa,2004,15412
Lake,1995,7148
Park,1997,12364
Rio Blanco,2049,5654
Archuleta,2040,17819
Saguache,2044,6723
Alamosa,2045,17135
Mesa,2000,117649
Fremont,2014,47116
La Plata,2029,64224
Garfield,1990,30149
Clear Creek,2012,9016
La Plata,2018,55733
La Plata,2014,53560
Dolores,2026,2036
Chaffee,2006,16983
Gunnison,2001,14340
Summit,2044,36128
Montezuma,2001,23873
Park,2010,16262
San Miguel,2009,7271
Boulder,2004,283288
Lincoln,2033,6077
Moffat,2009,13540
Clear Creek,2022,9405
Gunnison,2033,18569
Cheyenne,2048,1557
Gunnison,2011,15347
Eagle,2021,55686
Rio Grande,2028,11512
Bent,2028,5498
Park,2040,19011
Delta,2022,31180
Mesa,1994,102757
Jackson,2001,1590
Teller,2003,22220
Mineral,2020,863
Archuleta,1999,9570
Saguache,2035,6617
Morgan,2012,28249
Archuleta,2046,19125
Washington,1990,4812
Saguache,1999,5772
Phillips,2002,4497
Cheyenne,2012,1825
Saguache,2038,6649
Elbert,2047,37792
Logan,2036,22580
Sedgwick,2008,2422
Otero,2008,18854
Dolores,2016,2090
Fremont,2039,50596
Dolores,2032,1969
Eagle,2006,48215
Pueblo,1993,126356
San Miguel,2023,8366
Kit Carson,2004,8259
Douglas,2007,268597
Custer,2029,4544
Teller,2036,27721
Montezuma,2015,25519
Denver,2013,645303
Gilpin,1992,3239
Douglas,2016,328338
Gilpin,2031,5642
Teller,1999,20184
Lake,2014,7089
Pitkin,1990,12661
Gilpin,2037,5625
Douglas,2039,451234
Lincoln,1994,5936
Baca,2050,2928
Pueblo,1998,137381
Eagle,2009,51522
Alamosa,2005,15391
Custer,2022,4703
Kit Carson,2044,7236
Garfield,1994,34496
Montrose,2010,41188
Moffat,2004,13061
Mesa,2003,124150
Gilpin,2035,5651
Lake,2015,7157
Boulder,2040,381850
Grand,2001,13282
Saguache,2007,6153
Lake,2026,7748
Pueblo,2003,147967
Arapahoe,1992,417678
Gunnison,2019,16940
Huerfano,2015,6710
Grand,2042,18641
Weld,2044,567733
Fremont,2041,50851
La Plata,1997,40319
Garfield,2016,58162
Yuma,2025,10082
Rio Blanco,2034,6234
Logan,2010,22293
Adams,1991,273620
Phillips,2013,4485
Baca,2029,3252
Archuleta,1992,5888
Grand,2014,14932
Baca,2009,3816
Delta,2020,31159
Huerfano,1990,6009
Gunnison,2008,15138
San Miguel,2015,7823
La Plata,2010,51441
Sedgwick,2020,2410
Ouray,2034,5156
Rio Blanco,2010,6617
Park,2021,17352
Gunnison,2013,15421
San Miguel,1993,4869
Lake,2023,7519
Moffat,2020,13288
Dolores,1993,1426
Eagle,2015,52786
Rio Blanco,2046,5786
Rio Grande,2026,11560
Bent,2007,5770
Mesa,2013,147928
Alamosa,2000,15097
Ouray,2012,4471
Arapahoe,2012,596226
Kiowa,2036,1363
Las Animas,1991,13816
Delta,1995,25193
Kit Carson,2000,7975
Saguache,2037,6637
Denver,2012,632922
Las Animas,2029,14127
Ouray,2041,5398
Phillips,2047,4382
Baca,2027,3297
Phillips,2023,4540
Washington,2005,4997
Weld,2012,263852
Routt,1992,15153
El Paso,2050,994140
Rio Grande,2044,10704
Logan,1991,17499
Mineral,2047,878
Otero,2009,18847
Conejos,2020,7436
Montrose,1990,24563
Montezuma,2016,25543
Prowers,2023,11935
Fremont,1994,38711
Washington,2023,4847
Sedgwick,2023,2414
Phillips,2018,4517
Adams,2020,520076
Ouray,2001,3812
Broomfield,1991,0
Douglas,2028,406966
Garfield,2038,82607
Otero,2045,15476
Moffat,2011,13452
Hinsdale,2030,825
Teller,2018,24522
Broomfield,1995,0
Crowley,2004,5435
Denver,2039,855784
Alamosa,2016,15934
Lake,1990,6007
Cheyenne,2035,1695
Broomfield,2004,46403
Pitkin,2050,18787
Rio Grande,2011,11954
Lake,2033,8295
Jackson,2041,1228
Jackson,1999,1580
Mesa,2017,152150
Rio Blanco,1997,6320
Elbert,2027,31845
Arapahoe,2036,766172
Washington,1993,5139
San Miguel,2045,11338
El Paso,2015,677973
Park,1994,9526
Conejos,2011,8197
Fremont,2009,46637
Morgan,2004,27915
Alamosa,2044,17123
San Juan,2013,706
Kit Carson,1992,7234
Jefferson,1992,463534
Delta,2017,30706
Sedgwick,2003,2715
Fremont,2032,49653
Teller,2023,25456
Park,2017,16863
Rio Blanco,2031,6340
Jackson,2030,1296
Crowley,2041,6144
Logan,1990,17491
Grand,2023,16032
Broomfield,2023,80469
Huerfano,2049,4706
Archuleta,2035,16575
Morgan,2020,29101
Jackson,2020,1375
San Miguel,1995,5489
Sedgwick,2046,2337
Park,2018,17369
Kit Carson,2035,7134
Phillips,2040,4439
Grand,2039,18261
Lake,2029,7997
Dolores,2045,1775
Cheyenne,2032,1716
Mesa,1998,112335
Cheyenne,2037,1674
Clear Creek,2032,10234
Gilpin,2044,5471
Jackson,1996,1593
Bent,2023,5552
Prowers,2000,14452
Washington,2045,4524
Park,2006,16129
Clear Creek,2026,9608
Yuma,2040,10140
Summit,2023,31242
Prowers,2012,12394
Huerfano,2007,7659
Garfield,2001,45909
Chaffee,2032,21303
San Miguel,2040,10914
Broomfield,2021,76283
Douglas,2031,421908
Weld,2017,304596
Chaffee,2010,17797
Logan,2049,23166
Boulder,2046,392931
San Miguel,2036,10444
Cheyenne,2039,1658
Adams,2016,497822
San Juan,2014,702
Routt,1990,14169
Fremont,2022,48927
Park,2033,18978
Rio Blanco,2047,5735
Larimer,2021,362618
Kiowa,2049,1266
Jefferson,1995,491314
Jefferson,2039,630781
Bent,2009,6484
Fremont,2037,50340
Cheyenne,2023,1737
Arapahoe,2007,545876
Teller,2041,28228
Pitkin,2015,17702
San Miguel,1996,5798
Fremont,2013,47181
Alamosa,2030,16810
Huerfano,2026,6737
Custer,2048,3850
Gilpin,2042,5523
Adams,1994,300793
Otero,2006,19188
Larimer,2014,324125
Teller,1991,12717
Eagle,2035,63462
Montezuma,2024,26432
Broomfield,2014,62504
Routt,2024,26057
Gunnison,2042,19746
Larimer,2015,333446
Boulder,2020,330859
Las Animas,2023,14369
Cheyenne,2029,1742
Archuleta,1998,9133
Boulder,1993,247282
Chaffee,2017,18970
Mesa,2032,184251
Logan,2047,23100
Bent,2005,6262
Prowers,2009,12577
Broomfield,2047,94462
Baca,2014,3566
La Plata,2003,46449
Crowley,1994,4213
Denver,1995,507720
Alamosa,2007,15294
Lincoln,2038,6095
Park,2028,18534
Archuleta,2019,13189
Yuma,1991,9007
Crowley,2032,6059
Mesa,2038,201107
Bent,2032,5464
La Plata,2036,70010
Moffat,2038,12374
Moffat,2017,13225
Archuleta,2030,15278
Saguache,2030,6573
Lake,2027,7832
Larimer,2003,268147
Garfield,1999,42694
Las Animas,2042,12720
Delta,1992,21870
Logan,2040,22791
Gunnison,1997,12396
Delta,2006,29705
Pitkin,2035,18027
Logan,2031,22268
Summit,2002,26514
Prowers,1994,13693
Saguache,1991,4735
Logan,2029,22131
Delta,2007,29872
Lake,2028,7911
Kiowa,2044,1292
Pitkin,2028,17624
Montrose,2048,55824
Boulder,2035,369059
San Miguel,2048,11504
Broomfield,2003,44957
Hinsdale,2006,829
Morgan,2029,31116
Cheyenne,2042,1629
Hinsdale,2041,838
Dolores,2003,1876
Weld,1991,135739
Custer,2031,4487
Kit Carson,2010,8267
Morgan,2023,29610
Las Animas,2047,11940
Park,2037,19069
Kit Carson,2016,7480
Denver,1993,501336
Mineral,2029,930
Pitkin,2045,18502
Summit,2030,32953
Saguache,1998,5564
Montezuma,2012,25496
Washington,2012,4562
Prowers,1997,14118
Otero,2031,17581
Las Animas,2040,13002
Elbert,2034,36462
Arapahoe,2042,800427
Pitkin,1991,12984
Garfield,2021,62336
Kit Carson,2027,7048
Adams,2046,766608
Archuleta,2049,19678
Fremont,1997,42854
Montezuma,2032,28052
Yuma,2048,9936
Alamosa,2041,17094
Rio Blanco,2025,6482
Rio Blanco,2032,6298
Baca,1994,4387
Lincoln,2021,5677
Pueblo,2022,170004
Mesa,2028,172020
Pueblo,2026,174779
Phillips,2039,4443
Huerfano,2033,6349
Chaffee,2029,20826
Gilpin,2027,5726
Teller,2001,21737
Kiowa,2033,1383
Pitkin,2020,17363
Teller,2033,27359
Mesa,1991,95990
Douglas,2047,464889
Elbert,2045,37856
Rio Grande,2015,11778
Hinsdale,1999,787
Conejos,2001,8364
Delta,2038,34792
Lincoln,2024,5825
Bent,2015,5965
Douglas,2025,391023
Garfield,1996,37678
Pueblo,2030,179837
El Paso,2035,885400
Conejos,2023,7269
Larimer,2024,378059
Gilpin,2012,5500
Mineral,2021,885
Garfield,2040,85224
Kiowa,2027,1429
Dolores,2036,1907
Logan,2027,21985
El Paso,2031,843405
Huerfano,1994,6914
Logan,1995,19372
Otero,2044,15635
Park,1993,8575
Kit Carson,2025,7028
Morgan,2043,33992
Jackson,2042,1223
Broomfield,2035,95646
Sedgwick,2012,2374
San Miguel,2020,8063
Hinsdale,2050,859
Dolores,2033,1957
Douglas,2019,351208
Park,2013,15727
Logan,2020,21406
Kiowa,2001,1607
Moffat,1993,11797
Fremont,2046,51492
Montezuma,1992,19654
Delta,2025,31678
Jackson,1994,1646
El Paso,2032,854300
Rio Grande,2043,10783
Otero,2017,18762
Morgan,2014,28165
Kiowa,2037,1357
Arapahoe,2050,827721
El Paso,1991,405951
Saguache,2026,6539
Kit Carson,1990,7140
Morgan,2035,32489
Dolores,2041,1828
Archuleta,2014,11932
Kit Carson,2020,7077
Elbert,2041,37898
Summit,2046,36530
Custer,2001,3728
Mineral,2025,920
Kit Carson,2017,7402
Dolores,2012,2077
Rio Grande,2047,10403
Delta,1999,27408
Archuleta,2034,16324
Summit,2039,35055
El Paso,2034,875321
Jackson,2025,1323
Pueblo,2025,173461
Huerfano,1992,6182
Fremont,1991,32236
Washington,2047,4427
Baca,2045,2991
Saguache,2004,6242
Saguache,2050,6809
Morgan,2031,31588
Denver,2040,859004
Phillips,1998,4565
Elbert,2036,37197
Rio Grande,1995,11695
Weld,2029,418367
El Paso,1993,437127
Fremont,2012,47130
Mineral,2009,712
Custer,2004,3984
Phillips,2048,4375
Elbert,2014,23569
Weld,2003,207156
Elbert,2043,37896
Routt,2029,28641
Otero,2024,18399
Fremont,2010,46854
El Paso,2023,756951
Bent,2030,5483
Denver,1999,545515
Cheyenne,2001,2170
Prowers,2007,12777
El Paso,2025,778050
Lincoln,2029,5996
Fremont,1998,43817
Weld,2000,183074
El Paso,2047,978863
San Juan,2015,701
Clear Creek,2036,10613
Weld,2048,602765
Routt,2014,23661
Elbert,2022,27262
Broomfield,2028,91730
Ouray,2018,4735
Mineral,2030,929
Saguache,2015,6180
Baca,2034,3150
Alamosa,2034,16926
Sedgwick,2047,2338
Kiowa,2038,1347
Chaffee,1997,15409
Rio Grande,2039,11090
Ouray,2007,4275
Kit Carson,2029,7069
Fremont,2001,46738
Chaffee,2039,21935
Larimer,2050,510876
Gilpin,2025,5775
Montezuma,2027,27128
Hinsdale,2046,848
Cheyenne,2027,1744
Hinsdale,1992,504
La Plata,2042,74484
Kiowa,2017,1424
Otero,2037,16757
Moffat,2029,12865
Jefferson,2025,596798
Clear Creek,1991,7663
Summit,1996,19396
Pueblo,2023,171021
Mineral,2039,919
Morgan,1999,26954
Elbert,2042,37904
Larimer,2037,450311
Larimer,2000,253087
Broomfield,2032,95013
La Plata,2004,46927
Mineral,2008,769
Pueblo,2048,193861
Phillips,2022,4540
El Paso,1996,476988
Montezuma,2040,29048
Cheyenne,2031,1722
Elbert,2006,22526
Denver,2018,702680
San Miguel,2012,7573
Crowley,2038,6117
Broomfield,2049,93978
Lake,2005,7287
Denver,2035,836496
Grand,2043,18762
Fremont,2030,49350
Jefferson,2015,565161
Lincoln,2031,6047
Dolores,2035,1919
Montezuma,2008,25197
Mineral,1994,648
Rio Grande,2032,11406
Phillips,2031,4507
Fremont,1996,41831
Bent,2040,5408
Costilla,2050,2941
San Miguel,2042,11109
Rio Grande,2024,11506
La Plata,2046,77242
Logan,2002,22098
Gilpin,1999,4538
Elbert,2021,26470
Lincoln,1999,6088
Baca,2038,3082
Bent,1995,5555
Chaffee,2038,21853
Baca,2046,2978
Mineral,2027,930
Montezuma,2004,24602
Chaffee,2050,22593
Las Animas,2003,16089
Gunnison,2032,18421
Kiowa,2014,1397
Mesa,2009,144794
Baca,2013,3635
Clear Creek,2007,9334
Morgan,2038,33113
Prowers,1995,13822
Grand,2015,14958
